2000H 80H
2001H 47H
2002H 81H
2003H 41H
2004H A0H
2005H 4FH
2006H A1H
2007H 48H
2008H E6H
2009H 09H
200AH 3EH
200BH 09H
200CH CDH
200DH 0EH
200EH 20H
200FH 06H
2010H 09H
2011H 2FH
2012H OEH
2013H 09H
2014H 3DH
2015H 00H
2016H 05H
2017H BOH
2018H ODH
2019H BIH
201AH 76H
201BH F6H
201CH 09H
201DH DBH
201EH 09H
201FH D3H
2020H 09H
2021H 3CH
2022H 17H
2023H 04H
2024H 1FH
2025H OCH
2026H C9H
2027H FAH
2028H 0EH
2029H 20H
202AH 32H
202BH 0EH
202CH 20H
202DH C3H
202EH 0EH
202FH 20H
2030H 90H
2031H C2H
2032H 0EH
2033H 20H
2034H 91H
2035H CAH
2036H 0EH
2037H 20H
2038H A8H
2039H 3AH
203AH 0EH
203BH 20H
203CH A9H
203DH 78H
203EH EEH
203FH 09H
2040H 79H
2041H 76H
